species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_index
0,2,39.1,18.7,181.0,3750.0,1,2.0909090909090913
0,2,39.5,17.4,186.0,3800.0,0,2.270114942528736
0,2,40.3,18.0,195.0,3250.0,0,2.238888888888889
0,2,36.7,19.3,193.0,3450.0,0,1.9015544041450778
0,2,39.3,20.6,190.0,3650.0,1,1.907766990291262
0,2,38.9,17.8,181.0,3625.0,0,2.185393258426966
0,2,39.2,19.6,195.0,4675.0,1,2.0
0,2,41.1,17.6,182.0,3200.0,0,2.3352272727272725
0,2,38.6,21.2,191.0,3800.0,1,1.8207547169811322
0,2,34.6,21.1,198.0,4400.0,1,1.6398104265402844
0,2,36.6,17.8,185.0,3700.0,0,2.056179775280899
0,2,38.7,19.0,195.0,3450.0,0,2.0368421052631582
0,2,42.5,20.7,197.0,4500.0,1,2.0531400966183577
0,2,34.4,18.4,184.0,3325.0,0,1.8695652173913044
0,2,46.0,21.5,194.0,4200.0,1,2.13953488372093
0,0,37.8,18.3,174.0,3400.0,0,2.065573770491803
0,0,37.7,18.7,180.0,3600.0,1,2.016042780748663
0,0,35.9,19.2,189.0,3800.0,0,1.8697916666666667
0,0,38.2,18.1,185.0,3950.0,1,2.110497237569061
0,0,38.8,17.2,180.0,3800.0,1,2.255813953488372
0,0,35.3,18.9,187.0,3800.0,0,1.8677248677248677
0,0,40.6,18.6,183.0,3550.0,1,2.182795698924731
0,0,40.5,17.9,187.0,3200.0,0,2.2625698324022347
0,0,37.9,18.6,172.0,3150.0,0,2.0376344086021505
0,0,40.5,18.9,180.0,3950.0,1,2.1428571428571432
0,1,39.5,16.7,178.0,3250.0,0,2.3652694610778444
0,1,37.2,18.1,178.0,3900.0,1,2.0552486187845305
0,1,39.5,17.8,188.0,3300.0,0,2.2191011235955056
0,1,40.9,18.9,184.0,3900.0,1,2.164021164021164
0,1,36.4,17.0,195.0,3325.0,0,2.1411764705882352
0,1,39.2,21.1,196.0,4150.0,1,1.8578199052132702
0,1,38.8,20.0,190.0,3950.0,1,1.94
0,1,42.2,18.5,180.0,3550.0,0,2.2810810810810813
0,1,37.6,19.3,181.0,3300.0,0,1.9481865284974094
0,1,39.8,19.1,184.0,4650.0,1,2.083769633507853
0,1,36.5,18.0,182.0,3150.0,0,2.0277777777777777
0,1,40.8,18.4,195.0,3900.0,1,2.217391304347826
0,1,36.0,18.5,186.0,3100.0,0,1.945945945945946
0,1,44.1,19.7,196.0,4400.0,1,2.238578680203046
0,1,37.0,16.9,185.0,3000.0,0,2.1893491124260356
0,1,39.6,18.8,190.0,4600.0,1,2.106382978723404
0,1,41.1,19.0,182.0,3425.0,1,2.1631578947368424
0,1,36.0,17.9,190.0,3450.0,0,2.011173184357542
0,1,42.3,21.2,191.0,4150.0,1,1.9952830188679245
0,0,39.6,17.7,186.0,3500.0,0,2.2372881355932206
0,0,40.1,18.9,188.0,4300.0,1,2.121693121693122
0,0,35.0,17.9,190.0,3450.0,0,1.9553072625698324
0,0,42.0,19.5,200.0,4050.0,1,2.1538461538461537
0,0,34.5,18.1,187.0,2900.0,0,1.9060773480662982
0,0,41.4,18.6,191.0,3700.0,1,2.225806451612903
0,0,39.0,17.5,186.0,3550.0,0,2.2285714285714286
0,0,40.6,18.8,193.0,3800.0,1,2.1595744680851063
0,0,36.5,16.6,181.0,2850.0,0,2.1987951807228914
0,0,37.6,19.1,194.0,3750.0,1,1.9685863874345548
0,0,35.7,16.9,185.0,3150.0,0,2.112426035502959
0,0,41.3,21.1,195.0,4400.0,1,1.9573459715639807
0,0,37.6,17.0,185.0,3600.0,0,2.211764705882353
0,0,41.1,18.2,192.0,4050.0,1,2.258241758241758
0,0,36.4,17.1,184.0,2850.0,0,2.1286549707602336
0,0,41.6,18.0,192.0,3950.0,1,2.3111111111111113
0,0,35.5,16.2,195.0,3350.0,0,2.191358024691358
0,0,41.1,19.1,188.0,4100.0,1,2.1518324607329844
0,2,35.9,16.6,190.0,3050.0,0,2.1626506024096384
0,2,41.8,19.4,198.0,4450.0,1,2.154639175257732
0,2,33.5,19.0,190.0,3600.0,0,1.763157894736842
0,2,39.7,18.4,190.0,3900.0,1,2.1576086956521743
0,2,39.6,17.2,196.0,3550.0,0,2.302325581395349
0,2,45.8,18.9,197.0,4150.0,1,2.4232804232804233
0,2,35.5,17.5,190.0,3700.0,0,2.0285714285714285
0,2,42.8,18.5,195.0,4250.0,1,2.3135135135135134
0,2,40.9,16.8,191.0,3700.0,0,2.4345238095238093
0,2,37.2,19.4,184.0,3900.0,1,1.9175257731958766
0,2,36.2,16.1,187.0,3550.0,0,2.248447204968944
0,2,42.1,19.1,195.0,4000.0,1,2.2041884816753927
0,2,34.6,17.2,189.0,3200.0,0,2.011627906976744
0,2,42.9,17.6,196.0,4700.0,1,2.4374999999999996
0,2,36.7,18.8,187.0,3800.0,0,1.952127659574468
0,2,35.1,19.4,193.0,4200.0,1,1.8092783505154642
0,1,37.3,17.8,191.0,3350.0,0,2.095505617977528
0,1,41.3,20.3,194.0,3550.0,1,2.0344827586206895
0,1,36.3,19.5,190.0,3800.0,1,1.8615384615384614
0,1,36.9,18.6,189.0,3500.0,0,1.9838709677419353
0,1,38.3,19.2,189.0,3950.0,1,1.9947916666666665
0,1,38.9,18.8,190.0,3600.0,0,2.0691489361702127
0,1,35.7,18.0,202.0,3550.0,0,1.9833333333333334
0,1,41.1,18.1,205.0,4300.0,1,2.270718232044199
0,1,34.0,17.1,185.0,3400.0,0,1.9883040935672514
0,1,39.6,18.1,186.0,4450.0,1,2.187845303867403
0,1,36.2,17.3,187.0,3300.0,0,2.092485549132948
0,1,40.8,18.9,208.0,4300.0,1,2.1587301587301586
0,1,38.1,18.6,190.0,3700.0,0,2.0483870967741935
0,1,40.3,18.5,196.0,4350.0,1,2.1783783783783783
0,1,33.1,16.1,178.0,2900.0,0,2.0559006211180124
0,1,43.2,18.5,192.0,4100.0,1,2.3351351351351353
0,0,35.0,17.9,192.0,3725.0,0,1.9553072625698324
0,0,41.0,20.0,203.0,4725.0,1,2.05
0,0,37.7,16.0,183.0,3075.0,0,2.35625
0,0,37.8,20.0,190.0,4250.0,1,1.89
0,0,37.9,18.6,193.0,2925.0,0,2.0376344086021505
0,0,39.7,18.9,184.0,3550.0,1,2.100529100529101
0,0,38.6,17.2,199.0,3750.0,0,2.244186046511628
0,0,38.2,20.0,190.0,3900.0,1,1.9100000000000001
0,0,38.1,17.0,181.0,3175.0,0,2.2411764705882353
0,0,43.2,19.0,197.0,4775.0,1,2.2736842105263158
0,0,38.1,16.5,198.0,3825.0,0,2.309090909090909
0,0,45.6,20.3,191.0,4600.0,1,2.2463054187192117
0,0,39.7,17.7,193.0,3200.0,0,2.2429378531073447
0,0,42.2,19.5,197.0,4275.0,1,2.1641025641025644
0,0,39.6,20.7,191.0,3900.0,0,1.9130434782608696
0,0,42.7,18.3,196.0,4075.0,1,2.3333333333333335
0,2,38.6,17.0,188.0,2900.0,0,2.2705882352941176
0,2,37.3,20.5,199.0,3775.0,1,1.819512195121951
