species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_index
2,0,40.9,13.7,214.0,4650.0,0,2.985401459854015
0,1,37.3,17.8,191.0,3350.0,0,2.095505617977528
2,0,50.0,15.9,224.0,5350.0,1,3.144654088050314
0,0,35.9,19.2,189.0,3800.0,0,1.8697916666666667
0,0,40.5,18.9,180.0,3950.0,1,2.1428571428571432
2,0,44.4,17.3,219.0,5250.0,1,2.566473988439306
2,0,46.2,14.1,217.0,4375.0,0,3.276595744680851
2,0,42.9,13.1,215.0,5000.0,0,3.2748091603053435
1,1,54.2,20.8,201.0,4300.0,1,2.605769230769231
0,1,38.3,19.2,189.0,3950.0,1,1.9947916666666663
0,2,37.3,20.5,199.0,3775.0,1,1.819512195121951
0,1,37.8,18.1,193.0,3750.0,1,2.0883977900552484
2,0,47.8,15.0,215.0,5650.0,1,3.1866666666666665
0,2,40.2,17.0,176.0,3450.0,0,2.364705882352941
0,1,39.2,18.6,190.0,4250.0,1,2.10752688172043
1,1,40.9,16.6,187.0,3200.0,0,2.4638554216867465
0,1,38.1,18.6,190.0,3700.0,0,2.048387096774193
2,0,55.9,17.0,228.0,5600.0,1,3.288235294117647
2,0,43.6,13.9,217.0,4900.0,0,3.1366906474820144
0,1,38.8,20.0,190.0,3950.0,1,1.94
2,0,47.5,14.0,212.0,4875.0,0,3.392857142857143
1,1,53.5,19.9,205.0,4500.0,1,2.6884422110552766
1,1,48.5,17.5,191.0,3400.0,1,2.771428571428572
2,0,50.2,14.3,218.0,5700.0,1,3.5104895104895104
2,0,50.4,15.7,222.0,5750.0,1,3.210191082802548
0,1,41.5,18.5,201.0,4000.0,1,2.2432432432432434
0,0,41.6,18.0,192.0,3950.0,1,2.311111111111112
0,2,40.6,19.0,199.0,4000.0,1,2.136842105263158
0,0,37.8,18.3,174.0,3400.0,0,2.065573770491803
0,2,39.2,19.6,195.0,4675.0,1,2.0
1,1,55.8,19.8,207.0,4000.0,1,2.818181818181818
0,1,43.2,18.5,192.0,4100.0,1,2.3351351351351357
0,1,39.2,21.1,196.0,4150.0,1,1.8578199052132705
0,0,40.5,17.9,187.0,3200.0,0,2.2625698324022347
2,0,48.2,15.6,221.0,5100.0,1,3.08974358974359
2,0,47.4,14.6,212.0,4725.0,0,3.246575342465753
0,0,37.6,17.0,185.0,3600.0,0,2.211764705882353
1,1,52.8,20.0,205.0,4550.0,1,2.64
0,2,36.6,17.8,185.0,3700.0,0,2.056179775280899
2,0,49.0,16.1,216.0,5550.0,1,3.043478260869565
2,0,48.4,14.6,213.0,5850.0,1,3.315068493150685
0,1,36.9,18.6,189.0,3500.0,0,1.9838709677419355
1,1,51.3,18.2,197.0,3750.0,1,2.8186813186813184
0,1,37.0,16.9,185.0,3000.0,0,2.189349112426036
2,0,48.4,14.4,203.0,4625.0,0,3.3611111111111107
0,0,38.1,16.5,198.0,3825.0,0,2.309090909090909
1,1,51.3,19.9,198.0,3700.0,1,2.577889447236181
1,1,49.0,19.6,212.0,4300.0,1,2.5
1,1,47.0,17.3,185.0,3700.0,0,2.7167630057803467
0,2,38.5,17.9,190.0,3325.0,0,2.150837988826816
2,0,45.8,14.6,210.0,4200.0,0,3.136986301369863
0,2,39.6,17.2,196.0,3550.0,0,2.302325581395349
1,1,43.5,18.1,202.0,3400.0,0,2.403314917127072
0,0,38.2,18.1,185.0,3950.0,1,2.110497237569061
1,1,48.1,16.4,199.0,3325.0,0,2.932926829268293
2,0,46.5,14.4,217.0,4900.0,0,3.2291666666666665
0,1,39.0,18.7,185.0,3650.0,1,2.085561497326203
0,0,38.8,17.2,180.0,3800.0,1,2.255813953488372
2,0,47.2,13.7,214.0,4925.0,0,3.445255474452555
0,1,33.1,16.1,178.0,2900.0,0,2.0559006211180124
0,1,41.3,20.3,194.0,3550.0,1,2.034482758620689
0,2,42.8,18.5,195.0,4250.0,1,2.3135135135135134
1,1,45.7,17.0,195.0,3650.0,0,2.6882352941176477
0,0,37.7,16.0,183.0,3075.0,0,2.35625
0,0,37.8,20.0,190.0,4250.0,1,1.89
1,1,45.7,17.3,193.0,3600.0,0,2.6416184971098264
0,2,35.5,17.5,190.0,3700.0,0,2.0285714285714285
0,0,37.9,18.6,172.0,3150.0,0,2.0376344086021505
0,1,36.0,18.5,186.0,3100.0,0,1.945945945945946
2,0,59.6,17.0,230.0,6050.0,1,3.5058823529411764
0,2,45.8,18.9,197.0,4150.0,1,2.4232804232804237
2,0,50.1,15.0,225.0,5000.0,1,3.3400000000000003
0,1,36.0,17.1,187.0,3700.0,0,2.1052631578947367
0,2,43.1,19.2,197.0,3500.0,1,2.244791666666667
2,0,46.7,15.3,219.0,5200.0,1,3.0522875816993467
0,1,34.0,17.1,185.0,3400.0,0,1.9883040935672516
2,0,47.7,15.0,216.0,4750.0,0,3.18
1,1,46.1,18.2,178.0,3250.0,0,2.5329670329670333
2,0,46.4,15.6,221.0,5000.0,1,2.9743589743589745
1,1,51.3,19.2,193.0,3650.0,1,2.671875
2,0,45.2,16.4,223.0,5950.0,1,2.75609756097561
2,0,46.1,15.1,215.0,5100.0,1,3.0529801324503314
2,0,43.3,13.4,209.0,4400.0,0,3.231343283582089
1,1,51.7,20.3,194.0,3775.0,1,2.5467980295566504
2,0,46.5,13.5,210.0,4550.0,0,3.4444444444444446
0,1,41.1,17.5,190.0,3900.0,1,2.3485714285714288
0,1,44.1,19.7,196.0,4400.0,1,2.238578680203046
2,0,46.3,15.8,215.0,5050.0,1,2.9303797468354427
1,1,49.3,19.9,203.0,4050.0,1,2.477386934673367
1,1,49.2,18.2,195.0,4400.0,1,2.7032967032967035
